FECHA 2019-01-11 12:26:57.543000 | PLC1: 0.0000 | BR20: 1.2450 | PLC2: 0.0000 | Mqtt: 0.0110 | TOTAL: 1.6070
FECHA 2019-01-11 12:26:59.251000 | PLC1: 0.0000 | BR20: 1.1580 | PLC2: 0.0000 | Mqtt: 0.0050 | TOTAL: 1.5270
FECHA 2019-01-11 12:27:00.880000 | PLC1: 0.0000 | BR20: 1.2050 | PLC2: 0.0000 | Mqtt: 0.0090 | TOTAL: 1.5340
FECHA 2019-01-11 12:27:02.516000 | PLC1: 0.0000 | BR20: 1.1150 | PLC2: 0.0000 | Mqtt: 0.0060 | TOTAL: 1.4300
FECHA 2019-01-11 12:27:04.047000 | PLC1: 0.0000 | BR20: 1.1180 | PLC2: 0.0000 | Mqtt: 0.0080 | TOTAL: 1.4560
FECHA 2019-01-11 12:27:05.605000 | PLC1: 0.0000 | BR20: 1.2670 | PLC2: 0.0000 | Mqtt: 0.0060 | TOTAL: 1.5740
FECHA 2019-01-11 12:27:07.281000 | PLC1: 0.0000 | BR20: 1.0910 | PLC2: 0.0000 | Mqtt: 0.0060 | TOTAL: 1.4310
FECHA 2019-01-11 12:27:08.814000 | PLC1: 0.0000 | BR20: 1.1250 | PLC2: 0.0000 | Mqtt: 0.0070 | TOTAL: 1.5320
FECHA 2019-01-11 12:27:10.448000 | PLC1: 0.0000 | BR20: 1.1280 | PLC2: 0.0000 | Mqtt: 0.0070 | TOTAL: 1.4540
FECHA 2019-01-11 12:27:12.003000 | PLC1: 0.0000 | BR20: 1.0840 | PLC2: 0.0000 | Mqtt: 0.0090 | TOTAL: 1.3900
FECHA 2019-01-11 12:27:13.495000 | PLC1: 0.0000 | BR20: 1.1490 | PLC2: 0.0000 | Mqtt: 0.0080 | TOTAL: 1.4970
FECHA 2019-01-11 12:27:15.093000 | PLC1: 0.0000 | BR20: 1.0940 | PLC2: 0.0000 | Mqtt: 0.0090 | TOTAL: 1.4450
FECHA 2019-01-11 12:27:16.639000 | PLC1: 0.0000 | BR20: 1.1260 | PLC2: 0.0000 | Mqtt: 0.0080 | TOTAL: 1.4650
